Niveau,Incident,Description,T0,T1,T2,MTTD_sec,MTTR_sec,Detected
0,1,"DB Down",13:35:36.920,13:35:40.819,13:38:42.132,3.899,185.213,True
0,2,"CPU Overload",13:38:52.242,13:40:55.076,13:41:00.084,N/A,N/A,False
0,3,"Memory Limit",13:41:10.207,13:46:58.430,13:46:58.427,N/A,N/A,False
0,4,"Mass HTTP 500",13:47:08.446,13:47:08.976,13:47:08.976,0.53,0.53,True
0,5,"High Latency",13:47:19.011,13:52:20.615,13:52:20.612,N/A,N/A,False
0,6,"Disk Full",13:52:30.647,13:52:39.170,13:52:39.566,8.523,8.919,True
1,1,"DB Down",13:56:59.653,13:57:03.700,14:00:04.967,4.047,185.314,True
1,2,"CPU Overload",14:00:14.995,14:02:15.904,14:02:20.920,N/A,N/A,False
1,3,"Memory Limit",14:02:30.938,14:07:10.961,14:07:10.959,N/A,N/A,False
1,4,"Mass HTTP 500",14:07:20.980,14:07:21.314,14:07:21.321,0.334,0.341,True
1,5,"High Latency",14:07:31.337,14:12:32.609,14:12:32.601,N/A,N/A,False
1,6,"Disk Full",14:12:42.626,14:12:47.822,14:12:48.256,5.196,5.63,True
2,1,"DB Down",14:17:06.278,14:17:10.243,14:20:11.793,3.965,185.515,True
2,2,"CPU Overload",14:20:21.828,14:22:23.219,14:22:28.237,N/A,N/A,False
2,3,"Memory Limit",14:22:38.260,14:27:19.559,14:27:19.554,N/A,N/A,False
2,4,"Mass HTTP 500",14:27:29.596,14:27:29.978,14:27:29.981,0.382,0.386,True
2,5,"High Latency",14:27:40.010,14:32:42.118,14:32:42.114,N/A,N/A,False
2,6,"Disk Full",14:32:52.142,14:33:00.970,14:33:01.416,8.828,9.275,True
3,1,"DB Down",14:37:21.793,14:37:25.835,14:40:27.130,4.042,185.337,True
3,2,"CPU Overload",14:40:37.156,14:42:38.306,14:42:43.315,N/A,N/A,False
3,3,"Memory Limit",14:42:53.346,14:47:36.845,14:47:36.842,N/A,N/A,False
3,4,"Mass HTTP 500",14:47:46.883,14:47:47.315,14:47:47.317,0.432,0.434,True
3,5,"High Latency",14:47:57.361,14:52:58.943,14:52:58.939,N/A,N/A,False
3,6,"Disk Full",14:53:08.968,14:53:17.172,14:53:17.734,8.204,8.766,True
